Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,021,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,512,267933.78516,75137.310547,62836.818359
National,,National,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,219,156672.92237,43757.452055,38138.757991
National,,National,023,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR,13012,219781.21588,48447.137796,41978.459422
National,,National,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL,4418,152152.65414,33459.1177,28777.041648
National,,National,025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,21185,179904.02393,39041.012698,33509.388152
National,,National,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,8215,125020.31004,26842.327206,22849.461351
National,,National,027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,8476,105004.57881,21962.502596,17812.168122
National,,National,028,SPINAL PROCEDURES WITH MCC,2204,217099.57169,48573.019964,42423.133394
National,,National,029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3382,130092.48669,28291.445003,23109.960674
National,,National,030,SPINAL PROCEDURES WITHOUT CC/MCC,1127,94533.81189,20072.126886,16286.080745
National,,National,031,VENTRICULAR SHUNT PROCEDURES W MCC,916,159074.41376,37198.010917,31682.60262
National,,National,032,VENTRICULAR SHUNT PROCEDURES WITH CC,1855,87807.626415,18989.542857,15644.242049
National,,National,033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,2241,68763.802767,14620.473896,12190.036591
National,,National,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,1344,152302.8378,30778.609375,27254.535714
National,,National,035,CAROTID ARTERY STENT PROCEDURE W CC,3653,88870.012045,18208.733644,15784.456064
National,,National,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,4883,67536.615605,13346.021708,11283.785787
National,,National,037,EXTRACRANIAL PROCEDURES W MCC,3107,137086.18925,27132.24139,24062.268748
National,,National,038,EXTRACRANIAL PROCEDURES WITH CC,9580,71524.662004,13437.856054,11128.820877
National,,National,039,EXTRACRANIAL PROCEDURES W/O CC/MCC,17304,50691.643493,9078.7325474,7047.2814378
National,,National,040,"""PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH",4767,151727.37969,33638.646318,29100.529264
National,,National,041,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,5993,94710.965126,19355.120307,16371.989321
National,,National,042,"""PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHO",2048,78048.65332,15986.969727,12459.393555
National,,National,052,SPINAL DISORDERS & INJURIES W CC/MCC,927,66401.872708,15211.3452,12240.527508
National,,National,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,193,38022.968912,8700.7772021,6453.0259067
National,,National,054,NERVOUS SYSTEM NEOPLASMS W MCC,11466,55268.170504,12155.378074,9719.0315716
National,,National,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,3143,42850.997455,8875.4403436,6910.0906777
National,,National,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,11655,73715.375804,18627.007379,15958.578979
National,,National,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,24866,43101.035711,11429.256455,9391.6670956
National,,National,058,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,760,65752.765789,17650.372368,14056.677632
National,,National,059,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,2144,44936.099813,10358.289179,7648.3680037
National,,National,060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,1600,36915.410625,8276.83875,5828.78875
National,,National,061,"""ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH T",5353,122336.2096,22998.934616,20182.070988
National,,National,062,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROM",9114,89237.074062,16355.335528,13558.887645
National,,National,063,"""ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH T",1748,78513.308352,13920.700801,10955.802059
National,,National,064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,72858,74103.546666,15728.850051,13297.814173
National,,National,065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24,92112,43344.989057,8719.7352896,6751.6650816
National,,National,066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,25557,33811.150644,6430.1262668,4483.7724694
National,,National,067,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MC,964,60793.349585,12231.865145,10440.254149
National,,National,068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,3913,42758.548173,7638.9005878,5925.6882188
National,,National,069,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,28974,38008.890488,6667.4525091,5091.0591565
National,,National,070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,18096,61054.813771,13832.783709,11845.466125
National,,National,071,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,16332,39124.116152,8483.8370683,6775.1109478
National,,National,072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,3014,32056.103517,6435.8191772,4817.0826145
National,,National,073,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,6246,53866.112552,12703.673231,10662.20333
National,,National,074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,13206,40307.246782,8931.6524307,6982.5609571
National,,National,075,VIRAL MENINGITIS WITH CC/MCC,499,72368.837675,14937.731463,11769.284569
National,,National,076,VIRAL MENINGITIS W/O CC/MCC,128,35647.859375,8020.2890625,5901.828125
National,,National,077,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1923,59907.219449,13034.451378,11174.417057
National,,National,078,HYPERTENSIVE ENCEPHALOPATHY W CC,2509,41434.071742,7924.0621762,6225.7927461
National,,National,079,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,411,32838.970803,6058.6958637,4408.7858881
National,,National,080,NONTRAUMATIC STUPOR & COMA W MCC,846,77588.257683,17243.758865,14994.345154
National,,National,081,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,504,34988,8326.6706349,6193.9801587
National,,National,082,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",7408,91800.325594,20867.385664,18130.674811
National,,National,083,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,9683,55604.841371,12023.053186,9786.142208
National,,National,084,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",4099,39177.198585,8575.0365943,6513.4788973
National,,National,085,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,7892,84800.906107,18663.530791,16333.322352
National,,National,086,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",14197,51673.993097,10578.956892,8605.5451856
National,,National,087,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,6625,37839.70083,7688.8729057,5744.0135849
National,,National,088,CONCUSSION W MCC,471,63086.237792,11671.957537,9336.8917197
National,,National,089,CONCUSSION WITH CC,1367,47726.152158,8735.9166057,6460.9407462
National,,National,090,CONCUSSION W/O CC/MCC,529,40935.37051,7773.8771267,5392.1077505
National,,National,091,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,14659,62339.279896,13694.526707,11572.601337
National,,National,092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,19412,39279.54693,8449.2918298,6753.2375335
National,,National,093,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,5645,33829.420195,7002.8852081,5262.4678477
National,,National,094,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,1355,135017.17786,31641.929151,27218.892989
National,,National,095,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,1256,91561.292197,21511.04379,16693.362261
National,,National,096,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,337,89516.364985,19990.065282,15828.51632
National,,National,097,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WI,1851,148422.60832,32837.393301,27855.422474
National,,National,098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,1350,82412.00963,19195.452593,15078.835556
National,,National,099,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WI,322,55205.403727,11169.326087,8746.8012422
National,,National,100,SEIZURES W MCC,24004,72981.499083,15964.7977,13656.430553
National,,National,101,SEIZURES WITHOUT MCC,32584,37258.133747,8094.1533268,6257.0148539
National,,National,102,HEADACHES W MCC,1081,49983.13876,10574.940796,8244.9306198
National,,National,103,HEADACHES WITHOUT MCC,6626,37063.287957,7636.4338968,5193.4687594
National,,National,113,ORBITAL PROCEDURES W CC/MCC,438,94278.627854,22349.139269,19148.022831
National,,National,114,ORBITAL PROCEDURES WITHOUT CC/MCC,110,64785.6,14096.481818,10818.336364
National,,National,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,705,64587.462411,14877.652482,11774.577305
National,,National,116,INTRAOCULAR PROCEDURES WITH CC/MCC,390,71663.964103,19718.189744,16643.674359
National,,National,117,INTRAOCULAR PROCEDURES W/O CC/MCC,130,49210.661538,12434.746154,9268.6384615
National,,National,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,544,42033.988971,13302.005515,10769.487132
National,,National,122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,147,28434.836735,9324.8435374,6384.3741497
National,,National,123,NEUROLOGICAL EYE DISORDERS,2842,38306.971851,7317.7329346,5277.6625616
National,,National,124,OTHER DISORDERS OF THE EYE W MCC,918,53031.462963,13392.77342,11177.283224
National,,National,125,OTHER DISORDERS OF THE EYE WITHOUT MCC,2674,34527.891174,7691.0048616,5805.4554974
National,,National,129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,2183,113655.12185,24853.745305,20409.289968
National,,National,130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,949,71997.037935,14845.761855,11215.943098
National,,National,131,CRANIAL/FACIAL PROCEDURES W CC/MCC,1133,122603.43513,26912.267432,22723.165049
National,,National,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,426,65241.305164,15485.678404,12688.244131
National,,National,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",1562,88628.017926,20661.284251,17082.644046
National,,National,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",767,55951.943937,12017.883963,8925.9061278
National,,National,135,SINUS & MASTOID PROCEDURES W CC/MCC,232,115408.16379,23300.702586,19163.556034
National,,National,136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,65,47749.738462,10956.861538,8178.5230769
National,,National,137,MOUTH PROCEDURES W CC/MCC,786,55425.334606,13350.256997,10691.076336
National,,National,138,MOUTH PROCEDURES WITHOUT CC/MCC,333,38866.642643,8569.7777778,6267.033033
National,,National,139,SALIVARY GLAND PROCEDURES,260,55849.603846,11558.665385,9083.8538462
National,,National,146,"""EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC""",1057,79131.597919,19896.700095,16618.967833
National,,National,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC",762,50211.518373,11901.792651,9695.9173228
National,,National,148,"""EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC""",160,35309.475,8142.45,5929.55
National,,National,149,DYSEQUILIBRIUM,12513,33407.947974,6433.2266443,4770.9731479
National,,National,150,EPISTAXIS WITH MCC,877,49168.993158,11438.329532,9731.2782212
National,,National,151,EPISTAXIS W/O MCC,1845,27354.36477,6219.1609756,4712.5170732
National,,National,152,OTITIS MEDIA AND URI WITH MCC,2508,40707.429426,9637.4565391,7662.8947368
National,,National,153,OTITIS MEDIA & URI W/O MCC,5607,28629.962725,6603.5692884,4827.4226859
National,,National,154,"""OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC""",1787,55721.91718,12826.278679,10687.168998
National,,National,155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",3418,37085.77794,8183.8379169,6365.2393212
National,,National,156,"""OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC""",1050,28439.440952,6351.6114286,4513.0266667
National,,National,157,DENTAL & ORAL DISEASES W MCC,1480,62363.028378,14338.048649,12209.505405
National,,National,158,DENTAL AND ORAL DISEASES WITH CC,2515,35666.716501,8168.3594433,6176.015507
National,,National,159,DENTAL & ORAL DISEASES W/O CC/MCC,641,28632.444618,6581.6911076,4715.5304212
National,,National,163,MAJOR CHEST PROCEDURES WITH MCC,9977,181447.94828,40319.914203,35009.436103
National,,National,164,MAJOR CHEST PROCEDURES W CC,14145,103972.99526,21553.410039,17842.669636
National,,National,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,6881,81003.092428,16207.238192,12812.888388
National,,National,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,10565,141552.23351,31640.372078,27388.067487
National,,National,167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,5550,74798.649189,16562.7,13363.338198
National,,National,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1748,57567.200801,11878.778604,9043.5863844
National,,National,175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,27900,52695.347025,11895.151039,9745.7359498
National,,National,176,PULMONARY EMBOLISM W/O MCC,23154,33311.00894,7384.8914658,5544.4993522
National,,National,177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,181981,63975.376215,16783.991109,14502.050511
National,,National,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,32210,40352.081155,10558.627041,8793.4884197
National,,National,179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,6142,29728.545425,7939.2876913,6190.6512537
National,,National,180,RESPIRATORY NEOPLASMS W MCC,17242,67860.100046,14784.139833,12561.691219
National,,National,181,RESPIRATORY NEOPLASMS WITH CC,7920,46382.782323,9900.2861111,8071.4766414
National,,National,182,RESPIRATORY NEOPLASMS W/O CC/MCC,411,34951.812652,7150.6326034,5330.1995134
National,,National,183,MAJOR CHEST TRAUMA WITH MCC,4498,58333.580703,13228.644064,10725.319475
National,,National,184,MAJOR CHEST TRAUMA W CC,9407,43089.875306,9381.712023,6969.3560115
National,,National,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,2310,32866.751082,6973.6125541,4800.0943723
National,,National,186,PLEURAL EFFUSION W MCC,8490,55222.491402,12303.745465,10526.410718
National,,National,187,PLEURAL EFFUSION WITH CC,5112,40149.147692,8584.9968701,7031.1699922
National,,National,188,PLEURAL EFFUSION W/O CC/MCC,816,29393.604167,6411.997549,4884.7561275
National,,National,189,PULMONARY EDEMA AND RESPIRATORY FAILURE,110312,44562.405423,10359.245059,8650.9270524
National,,National,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,88076,39706.35869,9294.6346337,7668.0061311
National,,National,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,42982,32040.678889,7462.7165558,5976.8511005
National,,National,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,13861,25470.441166,6147.1704783,4605.1205541
National,,National,193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,131572,47112.979753,10597.772482,8858.253861
National,,National,194,SIMPLE PNEUMONIA & PLEURISY W CC,79784,31926.434761,7478.0319488,5825.6144089
National,,National,195,SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC,17673,24603.771799,5958.9292141,4315.4032705
National,,National,196,INTERSTITIAL LUNG DISEASE W MCC,7663,65389.457132,15023.502284,12535.101266
National,,National,197,INTERSTITIAL LUNG DISEASE WITH CC,2278,37969.911765,9152.0825285,7105.737928
National,,National,198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,487,29369.034908,7293.1273101,5133.5071869
National,,National,199,PNEUMOTHORAX WITH MCC,6287,65146.058533,14931.932877,12592.550819
National,,National,200,PNEUMOTHORAX W CC,9233,41375.401603,9526.6429113,7295.2688184
National,,National,201,PNEUMOTHORAX WITHOUT CC/MCC,1484,27498.868598,6421.9663073,4513.8861186
National,,National,202,BRONCHITIS & ASTHMA W CC/MCC,27859,36171.984637,8086.740407,6316.9229333
National,,National,203,BRONCHITIS AND ASTHMA WITHOUT CC/MCC,5125,26250.016,6285.2821463,4552.0245854
National,,National,204,RESPIRATORY SIGNS & SYMPTOMS,6985,32756.837795,7386.104796,5813.6221904
National,,National,205,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,9044,66522.570876,15577.051968,12591.111013
National,,National,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,8068,36483.691373,8137.4402578,6296.194348
National,,National,207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,25860,235145.11995,51479.369219,45907.651237
National,,National,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,53248,98060.355638,20706.816782,18179.203632
National,,National,215,OTHER HEART ASSIST SYSTEM IMPLANT,6814,357467.69504,97566.146757,90014.78324
National,,National,216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,4659,427642.68148,89818.518352,79680.13651
National,,National,217,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC,1411,260158.73281,56296.191354,48298.504607
National,,National,218,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC,129,220344.62791,44860.620155,37134.651163
National,,National,219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARD,12809,331523.67218,71469.871731,62515.989695
National,,National,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,10864,215798.5799,45549.126933,38532.895527
National,,National,221,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARD,1553,173339.58017,38301.513844,31667.440438
National,,National,222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,1727,317503.85929,70272.011581,62680.293573
National,,National,223,"""CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI",371,233262.45283,49750.927224,41043.431267
National,,National,224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,2193,273400.9357,61323.473324,52613.714546
National,,National,225,"""CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT",1400,205863.24857,44429.044286,38974.782857
National,,National,226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,4542,247103.93175,53403.18472,48390.467195
National,,National,227,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOU,3813,189053.03934,41984.471282,36670.808287
National,,National,228,OTHER CARDIOTHORACIC PROCEDURES W MCC,4805,240727.48616,53576.935068,48192.854318
National,,National,229,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,5136,151542.13551,32888.64817,29005.528621
National,,National,231,CORONARY BYPASS W PTCA W MCC,806,359869.70844,70573.361042,60575.935484
National,,National,232,CORONARY BYPASS WITH PTCA WITHOUT MCC,613,248598.02773,47123.499184,39742.458401
National,,National,233,CORONARY BYPASS W CARDIAC CATH W MCC,10238,301544.38963,59580.437097,51703.152276
National,,National,234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC,10972,207928.31781,40319.265494,32876.292381
National,,National,235,CORONARY BYPASS W/O CARDIAC CATH W MCC,10085,233387.46544,47461.719484,40440.257115
National,,National,236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15633,163163.27244,32116.929636,26277.146293
National,,National,239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,9603,152443.74925,35760.519004,32134.275643
National,,National,240,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TO,7295,94371.729815,21286.272653,18658.44743
National,,National,241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,563,54603.761989,12594.058615,10854.138544
National,,National,242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,16698,134622.33866,28262.528866,25725.185292
National,,National,243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,21338,94517.342956,19573.389399,17111.463961
National,,National,244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,11277,78012.401348,16175.857409,13486.935
National,,National,245,AICD GENERATOR PROCEDURES,983,188727.20855,42091.31943,37485.927772
National,,National,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH,44628,137383.36627,25550.079233,22139.596038
National,,National,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,73035,94982.141987,16425.027507,12982.789129
National,,National,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT W,1632,136761.94485,23756.170343,20915.398897
National,,National,249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,2008,92518.513446,14869.814741,12045.639442
National,,National,250,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT,3911,112051.30938,20565.585784,17829.899514
National,,National,251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,4349,79011.126466,13515.834215,10854.430214
National,,National,252,OTHER VASCULAR PROCEDURES WITH MCC,31878,127240.73201,27974.914675,25156.368687
National,,National,253,OTHER VASCULAR PROCEDURES W CC,21708,104422.22784,21410.419937,18468.281417
National,,National,254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,8548,72458.287553,14630.608797,12019.239237
National,,National,255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,2059,93336.993686,21425.055852,18566.530355
National,,National,256,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH,1660,58697.175904,13646.68253,11483.266265
National,,National,257,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,112,41987.214286,10126.625,8666.7589286
National,,National,258,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,483,111901.25673,24692.616977,22741.494824
National,,National,259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,713,78796.100982,16617.319776,14749.84432
National,,National,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,2378,143759.87721,32599.981918,28760.230025
National,,National,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,2915,80289.158834,15745.095026,13501.605146
National,,National,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,984,65637.873984,13137.781504,10928.807927
National,,National,263,VEIN LIGATION & STRIPPING,225,102656.72,20842.857778,17867.217778
National,,National,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,9045,114056.3058,26492.015036,23332.858264
National,,National,265,AICD LEAD PROCEDURES,524,135168.76145,29060.929389,25107.166031
National,,National,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WIT,20282,249924.24731,56828.57095,53017.968346
National,,National,267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT & SUPPLEMENT PROCEDURES W/O M,33253,192027.91859,44935.346766,41933.783809
National,,National,268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,3100,268620.07806,60583.110968,54114.108387
National,,National,269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,12938,148365.81102,33384.542433,29483.306848
National,,National,270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,18053,206453.49958,43672.109455,38937.651526
National,,National,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,13332,137904.09938,28866.029028,25101.334308
National,,National,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,4356,101751.84871,21134.556244,17833.224977
National,,National,273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,7072,171412.70772,31375.560238,27882.630939
National,,National,274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,25598,130369.43652,24383.842292,21762.788616
